엄격하다	strict
엄청나다	huge
엉뚱하다	unpredictable
여유롭다	have time/money to spare
연하다	tender
오래되다	old
올바르다	correct
옳다	right
외롭다	lonely
우아하다	elegant
우울하다	depressed
위대하다	great
유익하다	useful
유창하다	fluent
유쾌하다	cheerful
이롭다	advantageous
익숙하다	skilled
일정하다	fixed
자연스럽다	natural
잘나다	better than others
저렴하다	cheap
적당하다	proper
적절하다	proper
점잖다	gentle
정확하다	exact
중요하다	important
지겹다	boring
지루하다	boring
지저분하다	unclean
진하다	strong
