,0,1
0,관찰,observation
1,광장,square
2,교육,education
3,교재,teaching materials
4,교통수단,transportation
5,교통편,communication facilities
6,교환,exchange
7,구두쇠,miser
8,구매,purchase
9,구멍,"hole, opening"
10,구별,distinction
11,구성,composition
12,구입,purchase
13,구조,structure
14,구체적,detailed
15,국가,nation
16,국물,pot liquor
17,국민,people
18,국외,foreign country
19,군대,the military
20,궁금증,curiosity
21,귀국,homecoming
22,규칙적,regular
23,그늘,shade
24,근로자,worker
25,근무,work
26,근육,muscle
27,글쓴이,writer
28,글씨,"handwriting, letter"
29,글자,"letter, type"
0,양보,yield
1,억양,intonation
2,언론,the press
3,얼룩,stain
4,업무,work
5,엉망,mess
6,엊그제,a couple days ago
7,여가,leisure time
8,여유,time/money to spare
9,역사적,historical
10,역할,role
11,연구,research
12,연상,older
13,연속,consecutively
14,열대야,tropical night
15,영역,domain
16,영향,influence
17,예외,exception
18,오염,pollution
19,오해,misunderstanding
20,온돌,Korean floor heating
21,완성,completion
22,왕복,both ways
23,요구,demand
24,요약,summary
25,요청,request
26,욕심,greed
27,용기,courage
28,용돈,pocket money
29,용서,forgiveness
0,소원,wish
1,소음,noise
2,소화,digestion
3,속담,proverb
4,속도위반,speeding
5,속력,speed
6,손질,trimming
7,솜씨,skill
8,송금,remittance
9,수다,chatter
10,수단,way
11,수도,capital
12,수량,quantity
13,수면,sleep
14,수명,life expectancy
15,수수료,commission
16,수입,import
17,수준,level
18,수집,collection
19,수출,export
20,숙박,stay
21,숙박비,room charge
22,숙소,accommodation
23,순간,moment
24,습관,habit
25,습기,moisture
26,습도,humidity
27,승리,victory
28,시대,age
29,시도,try
0,뒤집다,"upset, flip over"
1,드러나다,reveal itself
2,들다,hold
3,들르다,drop by
4,들리다,be heard
5,들어서다,"go in, go up"
6,들어주다,grant
7,들여다보다,look into
8,들이다,let sb into
9,따다,pick
10,따라다니다,follow
11,따르다,follow
12,따지다,nitpick
13,때리다,hit
14,떠나다,leave
15,떠오르다,rise up
16,떠올리다,recall
17,떨리다,shake
18,떨어뜨리다,drop by
19,떨어지다,fall behind
20,떼다,take sth off
21,뚫다,dig
22,뛰어가다,run
23,뛰어나다,outstanding
24,뛰어내리다,jump
25,뛰어넘다,jump over
26,뛰어다니다,run around
27,뛰쳐나가다,run out
28,뜨거워지다,become hot
29,뜨다,float
0,나들이,outing
1,나머지,the rest
2,나물,greens
3,난방,heating
4,남녀노소,men & women of all ages
5,남녀평등,gender equality
6,내기,betting
7,내용물,contents
