넓히다	widen
넘기다	hand over
넘어가다	cross, pass
넘치다	overflow
넣다	put sth in/into sth
녹다	melt
놀리다	tease
높이다	increase
놓다	lay, put
놓이다	lay on, feel easy about
놓치다	miss
눕히다	lay sb down
늘리다	increase
늘어나다	stretch
늘어서다	line up
늙다	be (get) old
늦추다	delay
다가오다	approach
다녀가다	come by
다듬다	trim
다루다	treat
다리다	iron
다투다	quarrel
달다	hand, put up
달라지다	change
달려가다	dash
달아나다	escape
닳다	wear out/down
담기다	be filled with
담다	put something in
