살아남다	survive
살아오다	live
살찌다	get fat
살펴보다	examine
살피다	look after
삶다	boil
삼키다	swallow
상상하다	imagine
상하다	spoil, hurt
새다	dawn, break
새우다	stay up all night
생각하다	think
생겨나다	emerge
생기다	be formed
서두르다	hurry
섞다	mix something/with something
선택하다	choice
성공하다	succeed
세다	count up
세우다	set up
속다	be deceived
속이다	deceive
수리하다	repair
수선하다	repair
숙이다	bend
숨기다	hide
숨다	hide
숨지다	die
시인하다	admit
시키다	make somebody do
