가득	full
가만히	still
간신히	barely
간절히	earnestly
게다가	besides
겨우	barely
결코	never
곧	at once
골고루	evenly
과연	indeed
괜히	in vain
그다지	so, that
그대로	as it is
그저	just, only
기껏해야	at the most
꽤	quite
꾸준히	steadily
끊임없이	constantly
끝내	after all
내내	throughout
너무나	so
다행히	fortunately
달리	unlike
당분간	for a while
당연히	naturally
대개	generally
대부분	most of
대체로	generally
대충	roughly
더구나	besides
