과장하다	exaggerate
괴롭히다	harass
구르다	roll
구분하다	divide
구하다	look, find
굶다	starve
권하다	advise
그만두다	discontinue, resign
극복하다	overcome
긁다	scratch
금지하다	prohibit
긋다	draw
기르다	raise
기울이다	lean, devote
까다	peel
깔다	spread out
깨닫다	realize
깨뜨리다	break
깨우다	wake up
깨지다	break
꺼내다	pull
꽂다	put
꾸미다	decorate
꾸짖다	scold
꿈꾸다	dream
끄다	put out
끊기다	be cut off
끊다	cut off
끊어지다	snap, lose contact with
끌다	pull, lead
