만족	satisfaction
만족감	gratification
말다툼	argument
말투	tone
맞벌이	dual-career
매력	charm
매력적	charming, attractive
매연	fumes
매점	cafeteria
매진	sellout
매표소	box office
맨발	bare foot
맨손	bare hands
먼지	dust
명소	attraction
명품	masterpiece
모범생	model student
모습	figure, form
모양	shape, form
모험심	adventure
모형	replica
목숨	life (and death, 1 person=1 life)
목적지	destination
목표	goal
무게	weight
무관심	indifference
무늬	pattern
무대	stage
무더위	heat wave
무덤	grave
