싱겁다	to taste bland
젊다	to be young
갈비찜	kalbi jjim
삼계탕	samgyetang
일식	Japanese food
잡채	japchae
파전	pajeon
파전 만드는 법	pajeon recipe
한식	Korean food
기름기가 많다	to be greasy
뭐 드시겠어요?	What will you have?
분위기가 좋아요.	The atmosphere is nice.
서비스가 좋아요.	The service is good.
한번 가 볼게요.	I will go and check it out.
꺼내다	to take out (of a bag, pocket)
넣다	to put in
볶다	to stir-fry (cooking term)
섞다	to mix
썰다	to cut, to chop
양념하다	to season
익다	to be cooked, to be done (cooking term)
당면	noodles made from potatoes
방법	method
버섯	mushroom
불	flame, fire
식용유	cooking oil
양파	onion
재료	ingredients
피망	bell pepper
물을 끓이다	to boil water
불을 끄다	to put out the flame
가져오다	to bring (something)
개업하다	to start a business (opening a store or restaurant)
자르다	to cut
이웃집	neighborhood
자리	seat (ㅈㄹ)
화분	flower pot
떡을 돌리다	to give out rice cake
고마워요.	Thank you.
그걸로 주세요.	Please give me that one.
맛있게 드세요.	Enjoy your meal., Bon appetit.
냉면이 시원해요.	Naengmyeon is refreshing.
어서 와요.	Welcome.
여기 물냉면 나왔어요.	Here's your Mullaengmyeon.
축하 드립니다.	Congratulations! (polite)
