건너편	the opposite side
꽃집	flower shop
사거리	intersection (of four streets)
사진관	photography studio
주유소	gas station
주차장	parking lot
편의점	convenience store
화장품 가게	cosmetics store
그러니까	so (ㄱㄹㄴㄲ)
쭉 가다	to go straight
저기 죄송한데요.	I am sorry, but...
차가 밀려요.	The traffic is heavy.
고민하다	to fret over, to worry (고...)
생각나다	to think of (something) (-이/가)
초대하다	to invite (someone to somewhere) (-에)
추천하다	to recommend
선물	present, gift
스카프	scarf
향수	perfume
마음에 들다	to like something, to be of one's taste
마중 나가다	to go out to greet (someone)
전화를 받다	to answer a phone call (lit. to receive a phone call)
문제가 생겼습니다.	A problem came up.
들어가다	to go into (-으로)
세우다	to stop (a car)
기차역	train station
신호등	traffic light
옆길	side street
정문	the front gate
첫 번째	the first
퇴근 시간	the time one leaves the office for the day, evening rush hour
택시 기사	taxi driver
횡단보도	crosswalk, pedestrian crossing
저기	there, over there (within a visible distance)
큰길이 나오다	to come out onto a big street
그 다음은요?	And then?
다 왔습니다.	We've arrived., Here we are.
여기요.	Here you are.
