직장	one's place of work
상사	boss-supervisor
신입 사원	new employee
동아리	club for people with common interests
선배	senior
신입 회원	new member
미혼	single (unmarried)
사회학	sociology
자기소개	self introduction
근무하다	to work in a company
궁금하다	to be curious
똑똑하다	to be smart
적다	to be small
시간이 적다	to have little time
활발하다	to be lively
우연히	by chance/by accident
성격이 맞다	matching personalities
어디 가는 길이에요?	Where are you on your way to?
국적	nationality
꿈	dream
미팅	blind date
미팅을 하다	to have a blind date
이것저것	this and/or that
이웃	neighbor
평일	weekdays
해외	overseas
해외 출장	overseas business trip
활동	activity
활동을 하다	to take an active part (in)
들어오다	to enter
함께	together
회사에 들어오다	to enter a company as employee
