내용물	Contents
소포	Parcel, package
저울	scales
배편	surface mail by ship
항공편	airmail
보통 우편	regular post
빠른 우편	express mail
고지서	a bill
사용료	fee for use
수수료	service charge
수표	a cheque
원화	the Korean currency
환율	the exchange rate
출입국 관리 사무소	an immigration office
서명하다	to sign one's name
인지	a stamp
성함	a name (honorific form)
-이,가 깨지다	to be broken
떼어 내다	to tear away
사은품	a free, promotional gift
선착순	a first-come-first served basis
어린이	child
예정	a schedule, plan
행사	event
보관하다	to have custody of (something)
보호하다	to look after (someone)
태어나다	to be born
-이,가 할인 되다	to be discounted
두고 가다	to put something somewhere and leave it
종합 안내소	general information center
승강장	platform
거스름돈	change (money)
관람	looking around
관람객	a spectator
대여	lending
대여료	rent
대여하다	to lend
대인	adult
소인	child
신분증	ID card
애완동물	a pet
전날	one day ahead
피해	Damage
피해를 주다	to do damage
분리하다	to separate
분리수거함	a recycling container
행동하다	to behave
구매 시	at the time of purchase
외국인 등록증	alien ID card
은행 잔고 증명서	a bank statement
자연스럽다	to do it naturally
예절을 지키다	to observe proper etiquette
안내 방송	an announcement
공공장소	public place
장애인	a disabled person
노약자	a senior citizen
임산부	a pregnant woman
좌석	a seat
전원	power (electricity)
진동	vibration
박스	Box
금액	an amount of money
은행	Bank
비밀 번호	pin number/password
통장	bankbook
현금	cash
현금 카드	cash card
환전	exchange
연정하다	to extend
재발급하다	to reissue
확인 버튼	verification button
미술관	art gallery
그림을 그리다	to draw a picture
독서	a close reading
매수	the number of tickets
매표 시간	box office hours
영화 상영	movie showing
가방을 싸다	to pack a suitcase
재학 증명서	certificate of enrollment
등록금 납입 증명서	receipt for tuition
전동차	electrically-powered vehicle (subway train)
새로 문을 열다	to open the doors for a new business
퍼레이드	a parade
관심이 있다	to have an interest in
호랑이	tiger
미아 보호 센터	a center for mission children
통행	passing (through)
영상 안내기	video guide
음성 안내기	audio guide
봉지	a pack
번호표를 뽑다	to take a number (ticket)
(을/를) (에) 올려놓다	to put (a thing) up on (something)
