결혼식	Wedding
결혼식장	wedding hall
박수를 치다	to clap one's hands
봉투	envelope
부케를 던지다	to throw the bouquet
-이,가 시집가다	to get married (female)
-이,가 장가가다	to get married (male)
신랑	bridegroom
신부	Bride
축의금	congratulatory money
피로연	a reception
피로연장	a reception hall
장례식	A funeral
장례식장	a funeral parlor
빈소	room where coffin/portrait is
영정	portrait
위로하다	to console
절을 하다	to bow
조의금	condolence money
향을 피우다	to burn incense
방문하다	to visit
손님을 맞다	to receive visitors
별거 아니에요	It's nothing.
교수님	professor
부장님	department manager
연구실	research lab
환송회	farewell party
뵈다	to see (humble form)
칭찬하다	to praise
외출 중	to be out
이야기를 나누다	to have a talk
댁	house (honorific)
세뱃돈	New Year's money given to juniors
연휴	consecutive holidays
윶놀이	traditional game played with 4 sticks
세배를 드리다	to perform a new year's bow
검은색	black color
흰색	white color
대기실	a waiting room
띠	a band (hair band etc)
와이셔츠	a dress shirt
정장	formal dress/suit
주의하다	to be careful
어둡다	to be dark/gloomy
진하다	to be thick
진하게	thickly/too much (make up)
말없이	without a word
가까운 사이	close relationship
신경을 쓰다	to pay attention
액세서리를 하다	to wear accessories
