서쪽	the west
떨어져 있다	to be away
환경 도시	environmental city
산업 도시	industrial city
기업	company
대기업	big firm
지방	region
인구	population
넘다	to be over
움직이다	to move (around)
힘이 나다	to gain energy
대도시	big city
적응하다	to adapt
현대	modern times
과거	past
북쪽	the north
주도	the state capital
성	castle
건축물	building/architecture
일 년 내내	all the year around
찾아오다	to visit
전체	the whole
동쪽	the east
동남쪽	the southeast
동북쪽	the northeast
서남쪽	the southwest
서북쪽	the northwest
개성	Gaesung (city)
아이	child
교육시키다	to educate
도시	city
시골	country
수도	capital
소도시	small city
교육 도시	education(al) city
인구가 많다	to be populous
복잡하다	to be crowded
교통이 편리하다/불편하다	transportation to be convenient/inconvenient
조용하다	to be quiet
시끄럽다	to be noisy
공기가 맑다	to have fresh air
인심이 좋다	to be generous
...로 유명하다	to be famous for...
살기 편하다/불편하다	to be good/bad for living in
역사가 오래되다	to have a long history
유적지	historic site
공장	factory
리조트	resort
패션쇼장	fashion show (place)
멋지다	to be fabulous
맞다	to be correct
정치	politics
경제	economy
중심지	center/hub
두 번째로	the second
발전하다	to grow/develop
훨씬	much more
신라	Silla (Dynasty)
옛날	long time ago
농사를 짓다	to do farming
왕	king
글자	letter/character
밭	field
피라미드	pyramid
캥거루	kangaroo
소고기	beef
역사적이다	to be historic
메콩강	Mekong river
자리를 잡다	to occupy a position
불리다	to be called
혁명	revolution
달리다	to run/rush
돈을 벌다	to make money
