중개인	real estate agent
비다	to become empty
가구	furniture
마침	fortunately
짓다	to build
깨끗하다	to be clean
새것	to be (brand) new
사무실	office
(햇빛이) 잘 들어오다	(sunlight) to come into well
밝다	to be bright
아까	some time ago
덜	less
크기	size
부동산 (중개소)	real estate agency
알아보다	to inquire
복도	corridor/hallway
안방	main room
작은방	small room
거실	living room
부엌	kitchen
화장실	toilet
욕실	bathroom
베란다	terrace
현관	entrance
마당	garden
대문	front gate
이사하다	to move
이사를 가다	to move (out) to (a place)
이사를 오다	to move into (a place)
집을 옮기다	to move house
다른 곳으로 옮기다	to move to another place
방이 크다/작다	room to be big/small
방이 넓다/좁다	room to be large/small
방이 밝다/어둡다	room to be bright/dark
햇빛이 잘 들다	sunlight to come in
창문이 크다/작다	window to be big/small
공기가 잘 통하다	to be well ventilated
전망이 좋다	to have a good view
가구가 있다	to be furnished
화장실이 딸려 있다	to have a bathroom
새로 짓다	to be newly built
지은 지 오래되다	(building) to be old
집이 낡다	(house) to be old
지저분하다	to be dirty
집 주변이 조용하다/시끄럽다	to be quiet/noisy around a house
주변 경치가 좋다	to have a fine view
시설이 잘 되어 있다	to have good facilities
데	place
시설이 좋다	to be well equipped
넓이	space
공사를 하다	to do construction
새집	new house
환하다	to be bright
전자제품	electronic equipment
비슷비슷하다	to be much the same
세탁실	laundry room
치우다	to remove
따로 있다	to be seperate
딸려 있다	to be furnished with
책장	bookshelf
신축	newly built
대형 할인점	large-scale discount store
위치하다	to be located
다양하다	to be various
제공하다	to offer
공동 샤워실	shared shower room
1인실	single room
선택하다	to choose
