재테크 	investment techniques 
관찰력	observation skill 
개성적이다	individualistic 
의존적이다	dependent 
진보적이다	progressive 
폐쇄적이다	closed; antisocial 
고집하다	to insist; persist 
과보호	overprotectiveness 
의지하다	to rely on
개다	to clear up 
신호위반	running a red light 
신용	credibility 
암탉	hen 
지아비 	husband 
섬기다 	to serve 
남존여비 	male-dominated 
가족관	family values 
메마르다 	to be parched; totally dry 
화재위험	fire risk 
주거지 	dwelling 
수산물	marine products 
