원산지	place of origin 
허위	false 
아동	child(ren)
납치하다	to kidnap 
곳곳에 	here and there 
무제한으로 	without restrictions 
한정	limit
건망증	forgetfulness 
회의	doubt 
고독	lonliness 
희로애락	emotions 
공동체	community 
이해타산ㄴ	calculation 
유능하다	competent 
무능하다	incompetent 
제각기 	respectively 
발휘하다 	to show; demonstrate 
평등	equality 
실현하다	to realize; fulfill 
좌절	frustration 
부계가족	paternal family 
안식처 	place to find peace 
부양	support 
희박하다 	to be rare 
양육	nurture
