감시	surveillance
악용하다	to misuse; abuse
침해	invasion; violation
인권	human rights 
소유권	right of ownership 
재산권	property rights 
저작권	copyright
초상권	portrait rights 
명예훼손	defamation 
손해배상	compensation
소송	lawsuit
감소	decrease
억체	suppress 
제기하다	to raise; bring forward 
청구	claim
김씨 소유의 N	the N of 김씨
집단	group 
시도	attempt
만사	everything 
지적되다	to be noted; pointed out 
의무	obligation 
무분별하다	to be thoughtless; indiscriminate 
찬상	agreement; consent 
검거	arrest; round up 
고 [이름]	denotes dead person (고인)
