기후 	climate 
차남/차녀 	second son/daughter 
부유하다 	wealthy
빈곤하다 	poor 
서늘하다 	chilly; cool
쌀쌀하다 	nippy; chilly 
화창하다 	clear; bright 
온화하다 	mild; temperate 
너댓	about four or five 
열대	tropical climate 
한대 	polar climate 
아열대 	subtropical climate 
냉대	arctic climate
뚜렷하다 	clear; distinct 
땀샘	sweat gland 
방지하다	to neglect
다소	somewhat 
경향	tendency 
끈기 	endurance; tenacity 
온천	hot spring
활동적이다	active 
