인수증	receipt
벽걸이 TV	wall tv 
규정	regulation 
하자	defect
흠	flaw
품질보증서	proof of warranty
상표	lit. trademark -- means the tag 
옷감	cloth; material 
면	cotton
택배 기사	delivery man 
상자 	box 
지불하다	to make a payment 
수수료	fee
