나날이 	day by day 
유통기한 	shelf life; expiration date 
산지	producing district 
훗날	future days (opposite of 옛날)
고대 	ancient times 
중세 	middle ages 
근대 	modern history 
시각	time; hour 
결혼관	outlook on marriage 
휘발유	gasoline
무역	trade
바람직하다	desirable; advisable 
경계하다	to guard 
수명	life span 
초혼	first marriage
해저 	sea floor
암초	submerged rock 
선장	captain 
물기둥	column of water; water spout 
잠수함	submarine 
열기구 	hot air balloon
