영향을 끼치다 	to cause influence 
초조하다 	anxious; impatient 
공장	factory
장남/장녀	first born son/daughter 
회고록	memoir 
현명하다 	wise 
자상하다 	thoughtful; considerate 
기름 때 	oil stain 
