위반	violation
정들다	to become fond of 
세입자 	tenant 
시세 	market price 
중단하다 	to suspend; halt 
전자 오락	video game
계약금	down payment 
보증금	security deposit 
부동산 중개소 	real estate agency 
일정하다 	to fix/set
수도세 	water bill
관리비 	maintenance fees
작성하다 	compile; draw up 
운행하다 	to operate/run 
