양로원	nursing home 
봉사 활동 	volunteer work 
명예 	honor
미모 	good looks 
재력	wealth 
지혜 	wisdom
출세 	success 
학식 	learning 
배우자 	spouse 
빼어나다 	outstanding 
고아원	orphanage 
체력	physical strength 
지식	knowledge 
지루하다 	boring; tedious 
충실하다 	faithful; devoted
재학생	enrolled student 
상대적으로 	relatively 
외교관 	diplomat
