무술	martial arts
단련하다 	to train/work out 
남단	southernmost
의지하다	to rely on
형성되다 	to be developed 
밀집하다 	to be concentrated/close together
상인	merchant
성당	cathedral
주재하다 	to preside over 
미사 	catholic mass 
사원	mosque 
화교 	overseas Chinese 
운영하다	to manage/operate
