가운데	center, the middle
국내선	domestic flight
국제선	international flight
농구	basketball
무료	free
비자	visa
사실	fact, truth
손	hand
안부	regards
여권	passport
여행사	travel agency
예약(하다)	reservation
오랫동안	for a long time
왕복	round-trip
외국	foreign country
장학금	scholarship
짐	luggage, load
출발(하다)	departure
편도	one-way trip
표	ticket
다치다	to hurt
맞다	to be correct
싸다	to pack, wrap
알아듣다	to understand, recognize
이해하다	to understand
전하다	to tell, convey
가볍다	to be light
무겁다	to be heavy
곧	right away, soon
약	approximately
혼자	alone
~(으)면 되다	all one needs is
~게 되다	turn out that
걱정(하다)	worry, concern
경주	Gyeongju
경치	scenery, view
기억(하다)	memory
남	south
동	east
바다	sea
박물관	museum
북	north
서	west
섬	island
스트레스	stress
옛날	the old days
절	Buddhist temple
제주도	Jeju Island
호텔	hotel
와	wow
기쁘다	to be joyful, glad
멋있다	to be stylish, cool
아름답다	to be beautiful
유명하다	to be famous
인상적이다	to be impressive
남다	to remain
다니다	to get around
다녀오다	to go and get back
풀다	to relieve
아까	a while ago
주로	mostly, mainly
하나도	(not) at all
~(으)니까	expresses reason
~어/아 본 적(이) 있다/없다	expresses past experience
~었었/았었/ㅆ었	remote past
