구두	dress shoes
굽	heel
단어	vocabulary
마음	mind, heart
반값	half price
반바지	shorts
블라우스	blouse
샌들	sandals
스타일	style
원피스	(one-piece) dress
유행(하다)	fashion, trend
자켓	jacket
정가	regular price
정장	suit, formal dress
치마	skirt
카메라	camera
현금	cash
벌	a piece of clothing (counter)
닫다	to close
(나이가) 들다	to gain age
(마음에) 들다	to be to one's liking
떠나다	to leave
(돈을) 벌다	to earn (money)
외우다	to memorize
높다	to be high
단정하다	to be neat
얇다	to be thin
필요하다	to be necessary
마침	just, just in time
아직도	yet, still
함께	together, along with
~(으)려고 하다	intend to
~기가 쉽다/어렵다	it is easy/difficult to...
가격	price
검정색	black
노란색	yellow
담배	cigarette
문제	problem
빨간색	red
(신용) 카드	credit card
와이셔츠	dress shirt
인기	popularity
점퍼	jumper, jacket
초록색	green
티셔츠	T-shirt
파란색	blue
하늘색	sky blue
흰색	white
그러면	then, in that case
고르다	to choose, select
뛰다	to run
맞다	to fit
모자라다	to lack
바뀌다	to be changed
어울리다	to match, suit
피우다	to smoke
밝다	to be bright
어둡다	to be dark
말고	not A but B
천천히	slowly
(으)로	item selected from many
~(으)ㄴ/는/(으)ㄹ 것 같다	it seems like
~어/아도 되다	expresses permission
남색	navy blue, indigo
