공기	air
구름	cloud
기온	temperature
낮	daytime
단풍	fall foliage
런던	London
설악산	Seorak Mountain
스파게티	spaghetti
야외	the outside
에어컨	air conditioner
외국어	foreign language
유럽	Europe
음식값	food cost
장마	rainy season
전화비	phone bill
콘서트	concert
하늘	sky
기다려지다	to be wished
(구름이) 끼다	to get cloudy
낮아지다	to get lower
내려가다	to go down
되다	to function, work
시원해지다	to become cooler
피다	to bloom
낮다	to be low
맑다	to be clear
지겹다	to be boring
계속	continuously
벌써	already
유난히	particularly
~잖아요	you know
~어/아지다	to become
고생(하다)	hardship
난방	heating
데이트(하다)	a date
라디오	radio
물건	merchandise
바람	wind
섭씨	Celsius
시합	game, match
야구(하다)	baseball
야구장	baseball stadium
운동장	schoolyard, field
일기예보	weather forecast
잠실	Jamsil
프로	program
현재	the present
계속되다	to continue
불다	to blow
알리다	to inform
없어지다	to disappear, become missing
추워지다	to get colder
혼나다	to have a hard time
흐려지다	to get cloudy
더럽다	to be dirty
두껍다	to be thick
갑자기	suddenly
꼭	surely, certainly
대체로	generally, mostly
먼저	first, beforehand
~(으)ㄴ 다음에	after ~
~(으)면 좋겠다	I wish
~던	used to
