감다	to close (eyes)
돌아보다	to look back
들여다보다	to look into
뜨다	to open (one's eyes)
맡다	to smell
물다	to bite
미소	smile
바라보다	to gaze
뱉다	to spit
벌리다	to open (one's mouth), to spread (one's arms and/or legs)
살펴보다	to examine, search, check (ㅅ)
씹다	to chew
울음	crying
웃음	a laugh
지르다	to yell (ㅈ)
찾아보다	to look for/up, search (for)
하품	a yawn
한숨	a sigh
