감소	a decrease
늘다	to grow, to increase
늘어나다	to increase
더하다	to add
모으다	to collect
빠지다	1. to fall 2. to be missing 3. to be absent
빼다	1. to subtract 2. to remove
얻다	to gain
없애다	to get rid of
제거	removal, elimination
제외	exemption
줄다	to decrease
줄어들다	to decrease, to shrink
증가	an increase
추가	an addition
퍼지다	to spread, flare out, circulate
확대	an expansion, zoom
