개그	a comedy
관객	an audience
끌다	to attract
녹음	a recording
독자	a reader
매체	a medium
쇼	show
수상	an award
시청	viewing (as an audience member)
아나운서	a newscaster
역할	1. one's duty or assignment 2. a role in a show, play, etc.
연기	acting
연예인	a celebrity
영상	an image
인쇄	printing
제작	a production (e.g. movie)
채널	a channel
촬영	shooting (film)
출연	an appearance (on stage, TV)
출판	publication
팬	a fan
포스터	a poster
표지	a cover (magazine)
해설	commentation
현장	a site, a scene
화면	a screen
