고전	a classic
국악	Korean traditional music
기념	commemoration
대표	representation
동양	the Orient
명절	a holiday
민속	folklore
뵈다	to see (honorific)
성	a family name
성묘	paying respects at a family member's grave
송편	traditional Chuseok rice cakes
예절	etiquette
웃어른	elders
제사	a memorial service for ancestors
조상	ancestors
존댓말	honorific speech
탑	a tower
태극기	the national flag of Korea
한글	the Korean alphabet
한옥	a Korean traditional house
