감동	touchingness
감정	an emotion
곤란	a difficulty (not 어려움)
괴롭다	to be distressed
귀찮다	to be bothered
기뻐하다	to be happy (ㄱ long)
기쁨	happiness (ㄱ)
긴장	nervousness
낯설다	to be unfamiliar
놀랍다	to be surprising
느낌	a feeling
당황	disconcertment (self-consciousness)
두렵다	to be afraid
만족	satisfaction
망설이다	to hesitate
밉다	to be detestable
반하다	to fall in love with (not 빠지다)
보람	meaningfulness, worth
부담	overwhelmingness, burden
불쌍하다	to be pitiful
불행	unhappiness
사랑스럽다	to be lovely
서운하다	to be sad, to feel [emotionally] hurt (not 슬프)
소중하다	to be valuable, precious (i.e. family/memories)
속상하다	to be upset
실망	disappointment
싫증	a lack of interest
아깝다	to be a waste/shame to
아쉽다	to be a shame/pity that
안심	relief, relaxation
안타깝다	to be regrettable
자랑스럽다	to be proud
자유롭다	to be relaxed(atmosphere)/ to be free
정	an attachment, affection
진심	sincerity
짜증	irritation, annoyance
충격	shock (feeling)
친근하다	to be familiar (ㅊㄱ)
편안	comfort
후회	a regret
흥미	an interest
흥분	excitement (also horniness)
어색하다	to be awkward
