게다가	furthermore
결국	eventually
굳이	necessarily
그러므로	therefore (ᄀ)
끝내	1. never 2. at the last minute
달리	contrarily
당장	right away
더구나	moreover
따라서	therefore
딱	a descriptive adverb for something that fits perfectly
또는	or
마주	face to face
마치	as if
막상	actually (ᄆ)
만약	if(약)
만일	if
및	as well as
실제로	actually
아무래도	a descriptive adverb emphasizing one's thoughts
아무튼	in any case
오히려	rather
우연히	by chance
원래	originally
일단	once
잘못	by mistake
저절로	by itself
제대로	properly
한편	on the other hand
