거절	a refusal
경고	a warning
권하다	to recommend, suggest, advise (not 추천)
명령	an order (a command)
설득	persuasion
수다	chitchat
여쭈다	to ask (honorific)
오해	a misunderstanding
요구	a demand
의견	an opinion
의사소통	communication (not 통신)
잔소리	nagging
조르다	to pester
조언	counseling
주장	a claim, an opinion, insistance, assertion
추천	a recommendation
충고	advice
통하다	1. to be communicable 2. to circulate
표현	a verbal expression
허락	permission
화제	a topic (of conversation)
화해	reconciliation
