가능	a possibility
가치	value, worth (both moral and financial)
객관적	objective, objectivity
결심	a resolution, decision
결정	a decision
고려	consideration
구별	a distinction (between types)
구분	division
기대	an expectation
낫다	to be better
능력	an ability
단순하다	to be simple
당연하다	to be natural
떠오르다	to come to mind (ㄸ)
반성	self-examination
분명	clearly, plainly, obviously
비관	pessimisn
비판	criticism
비하다	to compare
상상	imagination
생각나다	to come to mind, to be reminded of (ㅅ)
소용없다	to be ineffective, useless
쓸데없다	to be unnecessary, needless
안되다	to not do well, to not work
여기다	to regard, consider
예상	anticipation
인정	recognition
좌우	1. an influence 2. left and right
지혜	wisdom
착각	a mistake, confusion, delusion, illusion
추측	a guess
틀림없다	to be certain, without mistake
파악	an understanding, grasp, comprehend, figure out
판단	judgement
평가	evaluation
확실하다	to be sure
