경우	a case
내용물	contents
대기	waiting, standby
따지다	1. to demand a clear answer regarding an issue 2. to take into consideration
무상	being free of charge
문의	an inquiry
문제점	a problem point
반품	return, taking back (an item)
버튼	a button
변경	a change, alteration
보관	storage
부품	a part, component
분실	loss
불만	a complaint, dissatisfaction (internal)
불평	a complaint (outward complaining)
비상구	an emergency exit
소음	noise, racket (negative)
연결	connection
작동	operation
해결	solution
환불	a refund
