꼬리	a tail
날개	a wing
먹이	animal feed
벌레	an insect
뿌리	a root
식물	a plant
인간	a man, human being
꽃잎	a petal
강물	river water
공기	air
남	south
돌	a stone, a rock (can be held in hand)
땅	ground
뜨다	to rise (the sun, the moon, stars)
모래	sand
물질	a substance
바닷가	the seashore
바위	a rock (too big to hold in hand)
밭	a field
별	a star
북극	the Arctic
빛	light
산소	oxygen
세상	the world (in which we live), society
숲	a forest
아시아	Asia
에너지	energy
우주	space (outer space)
자원	a resource
정상	a top
지구	Earth
지다	to set (the sun, moon, stars)
태양	the sun
햇빛	sunlight
흙	earth, soil
