고통	pain
금연	non-smoking
독감	influenza
두통	a headache
몸살	a bodyache
부러지다	to break (단단한 물체)
부작용	a side effect
불면증	insomnia
수면	sleep, slumber
식중독	food poisoning
심리	psychology
알레르기	an allergy
앓다	to be ill
암	cancer
장애	1. a disability or disorder 2. an obstacle
증상	a symptom
지치다	to be exhausted
진통	an ache (ㅈㅌ)
질병	an illness
체온	body temperature
통증	an ache (ㅌㅈ)
피	blood
피로	fatigue, exhaustion, tiredness
효과	effectiveness
흡연	smoking
