간접	indirectness
개선	an improvement
대도시	a major city
맞벌이	a double income
발생	an occurrence
밝히다	to reveal
벌	punishment
범죄	crime
변화	a change
불법	illegality
불우	being underprivileged
사건	an incident
사생활	one's private life
사회적	social, society
세대	a generation
실업	unemployment
양로원	a nursing home
어기다	to violate
위기	a crisis
음주	drinking
일으키다	1. to cause 2. to pick up
저지르다	to commit
차별	discrimination
현실	reality
혼란	chaos
훔치다	to steal
