과학	science
교향	liberal arts, refinement
국어	mother tongue
논문	a thesis
문자	a letter (alphabet)
문학	literature
박사	a doctor (academic)
발견	a discovery
분야	a field (of work, study)
상대적	comparatively
상식	common sense
수학	mathematics
언어	a language
역사	history
의학	medicine (study of)
일반적	general, usualness
전망	1. a future prospect 2. a view (scenery)
점	an aspect
주제	a topic
필수	a prerequisite
학과	a department (academic)
학자	a scholar
결론	a conclusion
공통	a commonality, common denominator
관계	a relation
관련	an association (affiliation)
관찰	an observation
관하다	to be about
구체적	concreteness
근거	a basis
달하다	to reach (an amount)
대상	a target
대하다	to be about
목적	a purpose
미치다	to affect (influence)
반면	whereas (on the other hand)
발명	an invention
바탕	a basis (of/for), a foundation (of)
보고서	a report
분석	an analysis
비교	a comparison
설문	a survey
시도	an attempt
실험	an experiment
연구	research
예	an example
예측	a prediction
응답	a reply (ᄋ)
의하다	according to
자극	a stimulus
조사	research, investigation
차이	a difference
차지	making up, comprise
형상	a phenomenon
확률	a probability
