가리다	to be choosy
고소하다	to be savory
골고루	equally
과식	overeating
굶다	to skip a meal, to starve
단맛	sweetness
단백질	a protein
비타민	a vitamin
상하다	1. to go bad 2. to be upset
섭취	consumption, intake, ingestion
시다	to be sour
안주	a snack served with alcoholic beverages
영양	nutrition
육식	a carnivorous diet
이롭다	to be beneficial
인분	number of servings
입맛	an appetite
조리	cooking
조식	breakfast
종류	kind
즉석	instantaneity
채식	a vegetarian diet
해롭다	to harm
향	a scent, bouquet
