가정	a home
공공	public control
공휴일	a legal holiday
국가	a nation
국민	a citizen, people
권리	a right
귀국	homecoming
기관	an organization
대통령	a president
북한	North Korea
사회	a society
세계	the world
시민	a citizen (of a city)
신분증	an I.D.
의무	an obligation
적용	application (i.e. rules apply to-)
전국	the whole country
전쟁	a war
정부	a government
정치	politics
주의	a principle
지역	an area
지정	designation
질서	order
투표	a vote
평등	equality
평화	peace
후보	a candidate
