가꾸다	to grow, raise, cultivate
결승	the finals
곡	a piece of music, a tune
관람	a viewing (of art)
나들이	an excursion
단체	a group
대여	rental
동호회	a club (not in school)
매표소	a ticketing office
머무르다	to stay, remain
메달	a medal
박람회	an exhibition, exposition
상금	prize money
속하다	to belong to (be a part of) something
수집	collection
숙박	lodging
숙소	accommodations
악기	a musical instrument
야외	the outdoors
여가	a rest, liesure
연주	performance
오락	entertainment
온천	a hot spring
응모	an entry (participation) for an event
일반	an adult (in regards to ticketing)
자유	freedom
전시	an exhibit
취하다	to take action (e.g. take a rest)
포함	inclusion
해소	relief (from stress)
활용	utilization
회비	a membership fee
회원	a member (of a club)
휴식	rest
