검다	to be black
금	gold
맞다	to fit
묻다	to be stained with
소매	a sleeve
수선	repair (shoes or clothes)
스타일	a style
액세서리	an accessory
얼룩	a stain
옷차림	attire
은	silver
의류	clothes (not 옷)
줄무늬	a stripe
세로줄무늬	vertical stripes
가로줄무늬	horizontal stripes
패션	fashion
홈쇼핑	home shopping
흡수	absorption
희다	to be white
