가뭄	a drought
구조	rescue, help
긴급	emergency
당하다	to suffer
대비	preparedness
대피	evacuation
무너지다	to collapse
생존	survival
연기	smoke
예방	prevention
입다	to sustain
지진	an earthquake
파괴	destruction
폭발	explosion
폭우	torrential rain
피해	damage
홍수	a flood
화재	a fire
공해	(air) pollution
매연	exhaust fumes
보존	conservation
보호	protection
산성비	acid rain
오염	pollution (general)
일회용	a disposable product
재활용	recycling
황사	yellow dust
