갚다	to repay
경제적	economic
낭비	waste (of resources)
노동	labor
발전	development (economic), advancement
비용	a cost
소득	an income
수입	import
수입	earnings
수준	a level
수출	export
실용	practicality
예산	a budget
인상	a raise
장사	business (daily), commerce
절약	saving
지출	spending
형편	financial circumstances
