가입	subscription
검색	a search
게시판	a message board
기사	an article
기술	a technology
날리다	to lose or squander all of one's fortune, data, etc.
다운로드	download
등장	1. an emergence of a new product, person, etc. 2. an appearance on stage
디지털	digital
로봇	robot
리모컨	remote control
발달	development
사이트	site
온라인	online
저장	1. computing 2. collecting and storing goods or commodities
전달	delivery, transmission
접속	an access
통신	communications
파일	file
프로그램	program
