감독	director
건축	architecture
기도	a prayer
나타내다	to describe
동화	a fairy tale
무대	a stage
무용	dance (무)
불교	Buddhism
시인	a poet
예술	art (예)
인물	a person, character
작가	a writer
작품	a work, a piece (of art)
종교	a religion
주인공	a main character
안무	choreography
안무가	choreographer
안무를 짜다	choreograph
