강아지	puppy
남녀노소	men and women of all ages
매달	every month
머리방	beauty salon
목욕	bath
무스	mousse
미용사	hairstylist
미장원	beauty salon (= 미용실)
발음	pronunciation
샴푸	shampoo
앞머리	bangs
옆머리	the hair on the side
윤기	luster, shine, gloss
이발사	barber
이발소	barbershop
입구	entrance
전문	specialty
파마	permanent
헤어컷	haircut
이대	Ewha Womans University
윤씨 머리방	Yoon's Beauty Salon
(머리) 감다	to shampoo, wash
(머리) 말리다	to dry
귀찮아하다	to feel bothered
기르다	to raise, grow
깎다	to cut (usually of men's short hair)
떠들다	to make a noise
머리하다	to get women's hair done
바꾸다	to change
바뀌다	to be changed
바르다	to apply (a creamy substance)
반가워하다	to be glad
상하다	to be damaged
샴푸하다	to shampoo
손질하다	to take care of (hair, garden, furniture)
술 마시다	to drink (alcoholic beverages)
싸우다	to argue, to fight
원하다	to want, desire, hope for
이발하다	to cut men's hair
자르다	to cut
파마하다	to get a permanent
한잔하다	to have a drink, to drink alcohol
할인하다	to discount
궁금하다	to wonder
기쁘다	to be happy
두껍다	to be thick
멋있다	to be attractive
밉다	to dislike
부드럽다	to be soft
시원하다	to be cool
아름답다	to be beautiful
위험하다	to be dangerous
윤기있다	to be glossy
이상하다	to be strange
즐겁다	to be joyful
짧다	to be short
특별하다	to be special
파랗다	to be blue (color)
행복하다	to be happy
늘	always
약간	a little bit
이리(로)	this way
그 이후로	since then
얼마 전에	some time ago
~나 보다/(으)ᄂ가 보다	it seems that; I guess
~(으)니까	as, because
~(으)ᄂ지	since (the time when)
