경기	game (sports)
낚시	fishing
냉수	cold water
녹화	recording
도움	help (돕다 "to help")
독서	reading
동료	colleague
마이크	microphone
만화	comic book
먼지	dust
모기	mosquito
미팅 파트너	(meeting) partner
박물관	museum
변덕꾸러기	capricious person
상품	prize
새벽	dawn
소나기	shower (rain)
소설	novel
씨름	traditional Korean wrestling
아기	baby
옆집	next door
오락	recreation, pastime
입장권	(admission) ticket
직장	place of work; job
추리	mystery; reasoning
취미 생활	hobbies (lit. hobby life)
퇴근	going home from work
현대인	modern people
핸드폰	cellular phone
(꽃을) 기르다	to grow (flowers)
(상품을) 타다	to win (a prize)
(스트레스가) 쌓이다	to become stressed
(스트레스가) 풀리다	to be relieved (of stress)
(스트레스가) 풀다	to relieve (stress)
(잠이) 깨다	to wake up
가벼워지다	to become lighter
갖다 놓다	to put
겹치다	to overlap
녹화하다	to record (a TV program)
놓치다	to miss (miss a bus, etc.)
모으다	to collect
비를 맞다	to be caught in the rain
빠지다	to fall into
신나다	to be excited
쓰러지다	to collapse from exhaustion
어쩔 줄 모르다	not to know what to do
이기다	to win over
이야기를 걸다	to talk to
한턱 내다	to treat (someone) to a meal or a drink
간단하다	to be simple
그만이다	to be enough
날씬하다	to be slim
상쾌하다	to be refreshing, fresh
이르다	to be early
커다랗다	to be big
공짜로	for nothing, free
그저	without any reason
되게	extremely, very
잘도	(also) well
주로	mainly, usually
끼리	in-group, exclusively among themselves
(이)나	or
(이)라도	or something (like that)
~거나	or
