공	ball
공장	factory
논문	thesis, term paper
대신	instead of
만(이다)	elapsed time, absence, (after) a lapse of
방문	visit
부부	husband and wife, couple
사회	society
설탕	sugar
실력	(one's) skill, ability
어린아이	child
외국어	foreign languages
요금	fare
인정	warmth, affection, kindness
입학	entering school
장남	eldest son
전통	tradition
전통적	(being) traditional
점	point, thing
제 시간	(in) time
지갑	wallet
지붕	roof
찻길	street
차이	difference
초대	invitation
한자어	Sino-Korean words, Chinese loanwords
깜짝	[describes being startled]
그저께	the day before yesterday
뒤따라	following
따로	separately
밤새도록	all night long
푹	deeply, soundly
하도	very; insistently; so
하하 (웃다)	laughing: ha, ha, ha
남기다	to leave behind
내려주다	to drop (someone) off
늘다	to increase
당황하다	to be embarrassed
던지다	to throw
떨어뜨리다	to drop something
맡기다	to leave something with (a person), to entrust
모여 살다	to live together
변하다	to change
사고가 나다	to have an accident
살이 찌다	to gain weight
생기다	to come into existence
서다	to stand
숨이 차다	to be out of breath
시집가다	(of a woman) to marry
쌓이다	to pile up
어쩔줄 모르다	not to know what to do
집다	to pick up
차에 치이다	to be hit by a car
큰일나다	to be in big trouble
강하다	to be strong
궁금하다	to be curious
달다	to be sweet
뻔하다	to be near(ly), almost
쓰다	to be bitter
이상하다	to be strange
쫄깃쫄깃하다	to be chewy, sticky
보고	to (a person)
