배경	background
등장인물	character (in a story)
결말	ending, conclusion, result
지혜	wisdom
교훈	moral, good lesson
풍습	custom, (best) practice
구전되다	be handed down (orally)
벌을 받다	be punished
전래 동화	traditional fairy tail
비교하다	compare
작품	work (of art)
세월	time (and tide)
평범하다	common, ordinary, normal
온갖	all kinds of
덧붙이다	add (up)
생략되다	be omitted
상상력	imagination, imaginative power
기르다	cultivate, raise
간접적	indirect
사회성	sociality
올바르다	right, correct, accurate
겪다	experience, undergo, suffer
신기하다	marvelous, wonderful
호기심	curiosity
흥미롭다	interesting, exciting
깨닫다	realize, notice, become aware
첨단과학	advanced science
발달하다	develop, grow
관객	audience
일시	date and time
강당	lecture hall, assembly hall
입장권	ticket
선착순	first come, first served
배부	distribute, hand out
유아	infant child, toddler
동반	accompany, go with
마음씨	nature, temper
