네티즌 (누리꾼)	netizen
정보의 바다	sea of information
사이버공간	cyber space
네티켓	netiquette
익명성	anonymity
댓글	comment
영상 채팅	video chatting
사이버 강의	cyber lecture
유출	leakage, spill
사이버 범죄	cyber crime
해킹	hacking
악성 (댓글)	hateful (comments)
인터넷 카페	internet café
탈퇴하다	leave, withdraw
비공개	closed, private, personel
빛	light
그림자	shadow
줄임말	abbreviation
지인	friend, acquaintance
강화하다	tighten, strengthen, intensify
폭넓다	wide, extensive
정치인	politician
지지자	supporter
공공 업무	public service
전문화되다	specialized
현상	phenomenon
닳다	worn out
모바일 기기	mobile device
기록	record, document
시사	current events
사건	incident, affair, event
사고	accident, trouble, mishap
전달	delivery
