의성어	imitative word, onomatopoeia
의태어	mimetic word
괜히	in vain, uselessly, for nothing, to no purpose
삼키다	swallow
돌멩이	pebble
속다	be deceived, be fooled, be cheated
찬물	cold water
아이고	oh my god
콜록콜록	coughing (sound)
당장	right now
다녀오다	go and come back
