속담	proverb
관용어	idiom
올챙이	tadpole
외양간	barn, stable, cowshed
세월	time (and tide)
간결하다	simple, concise
협동	cooperation, collaboration
백지	blank paper
맞들다	lift sth up together
곱다	beautiful, pretty, lovely, nice
벼	rice
수레	wagon, cart, handcart
요란하다	noisy, loud
우물	a well
파다	dig, excavate, burrow
우물 안 개구리	a big frog in a small pond, a man of narrow views
