위인전	biography
화폐	money, currency, note
수녀	nun
기원전	BC (before christ)
기원후	AD (anno domni)
고대	ancient times, antiquity
중세	the middle ages, medieval times
근대	modern times
지도자	leader, guide
철학자	philosopher
교육자	educator
과학자	scientist
끈기	steadiness, tenacity, perserverance
재주	talent, skill, gift (2)
인물	person, character
초대	the first
값지다	valuable, precious (2)
창설자	founder
광산	mine
다이너마이트	dynamite
폭약	explosive
뚫다	dig, drill, bore, pierce
용도	use, purpose
왕립	royal
기증하다	donate
인류	humanity, humankind
복지	welfare
공을 세우다	make a contribution
유언	will, testament
수여하다	confer, give sb a prize, award sth
권위	authority, prestige
생리의학	physiological medicine
물리학	physics
화학	chemistry
문학	literature
평화	peace
경제학	economics
제외하다	exclude, leave out
공헌하다	contribute
선정되다	be selected, be nominated
노벨 물리학상	nobel prize in physics
수상하다	suspicious, strange, shady
성장하다	grow up, develop
통치자	ruler, sovereign
차지하다	occupy, take possession, win
