효도	filial piety
우애	brotherly affection
근면	diligence, hard work
정직	honesty, truthfulness
용기	courage, guts
착하다	good(-natured), kind
용감하다	brave, couragous
부지런하다	diligent
겁	fear, fright
마음씨	nature, temper
하늘나라	heaven, paradise
하느님	god
숲	forest
산신령	the guardian spirit of a mountain
도깨비	goblin
사슴	deer
우물	a well
용왕	the sea king
거북이	turtle
농부	peasant
사냥꾼	hunter
곶감	dried persimmon
인상적	impressive, memorable
친숙하다	familiar
등장하다	appear
호수	lake
개미	ant
베짱이	(long-horned) grasshopper
무덥다	sultry, sweltering, humid
햇볕	sunlight, sunbeam
쨍쨍	blazing, bright, glaring
내리쬐다	beat down on
그늘	shade
양식	food, provisions, rations
뻘뻘	profusely
비웃다	sneer, laugh at, mock
덮이다	be covered in
쌩쌩	wuthering, howl, wail
벌벌	shiveringly
견디다	stand, bear, endure
호호	blow one's breath on one's freezing hands
두드리다	knock
신이 나다	get excited
얼굴을 들 수 없다	hang one's head for shame
후회	regret
혹부리	person with a lump on one's cheek
영감	old man, elderly man
욕심을 부리다	to get greedy
욕심쟁이	greedy person
우연히	by chance, by accident
떼다	take off, remove
재물	wealth, riches, propery
거짓말쟁이	liar
