문화재	cultural assets
유적	remains, ruins
유물	relic, artifact
명승지	scenic spot
왕릉	royal mausoleum, royal tomb
사찰	buddhist temple
견학하다	take a field trip
둘러보다	look around
보호하다	protect, shelter
탐방하다	visit
유적지	historic site
고택	old house
서원	confucion academy
보존되다	be preserved
마을	village
설레다	throb, flutter
이르다	early
향하다	head for (towards)
단풍이 들다	leaves to turn red (yellow)
기와집	tile-roofed house
멋스럽다	sophisticated, classy
이동하다	move
상다리가 부러지다	the table groan with
천문	astronomical phenomena
관측대	observation platform
화강석	granite stone
둥글다	round
아쉽다	sorry, sad
화산	volcano
용암	lava
동굴	cave
