시청	city hall
구청	ward office
주민센터	community service center
구민회관	community center
보건소	(public) health center
대사관	embassy
문화원	cultural institute
출입구관리사무소	immogration office
홍보하다	promote, publicize
건강검진	medical examination
체류지	the temporary place of residence
고속도로	espressway
문화 시설	cultural facilities
복지	welfare
침을 뱉다	spit
우측 보행	walking on the right
교통법규	traffic rules
차례를 지키다	keep turn, keep order
공공장소	public place
정해지다	be decided, be determined, be set
양보하다	yield up one's seat
개봉되다	be released
심심하다	bored
서울광장	Seoul Plaza
공연	performance
다산콜센터	Dasan 120 Seoul Call Center
전통문화	traditional culture
사물놀이	korean tradional percussion quartet
만능	all-powerful, omnipotent
해결사	troubleshooter, solver
떠올리다	recall, recollect
제대로	well, properly
눈꺼풀이 무겁다	eyelids are heavy, sleepy
망하다	fail, screw up, go bankrupt
당황하다	be embarrassed
울음이 터지다	burst into tears
고객	client, customer
상담원	consultant
노선	line, route
드디어	finally, at last
다행히	fortunately, luckily
맡기다	leave, deposit, check (in), assign
무사히	in safety
흡연	smoking
범죄	crime
자제하다	restraing oneself, control oneself
애완동물	pet
삼가다	abstain, refrain
