관광지	tourist attraction
관광객	tourist
볼거리	spectacle, attraction
기념품	souvenir
당일	the day
행정	administration
이국 문화	the exotic culture
손꼽히다	be considered
일정을 짜다	set an itinerary, schedule, plan
발 디딜 틈이 없다	no place to step
발길이 끊이지 않다	have fequent contacts with
피서	summer vacation
타다	be sunburned
촬영지	film site
도읍지	the seat of government
중심지	the center
공존하다	coexist
고궁	old place
유네스코	UNESCO
세계문화유산	world cultural heritage
등재되다	be listed
가옥	house
한옥	korean style house
눈에 띄다	stand out
꼭대기	top, peak
야경	night view
붐비다	crowded, packed
넘치다	be full of, overflow
숲	forest
국립	national
예술	art
돌담	stone wall
