가치	Value, worth
갇히다	To be locked up
감독	Director
감옥	Prison, jail
고개	Back of the neck
굳다	To harden, become stiff
규칙	Rule, regulation
꺼지다	To die out
끌어내다	To drag out
노선	Route, course
마당	Place, ground, episode
말투	Manner of speech
매	Whip, rod, cane
목숨	Life, breath of life
무르익다	To become ripe, fully matured
발칙하다	To be rude, ill-mannered
백년가약	Marriage vow
백성	The people
복원하다	To restore to original state
분부	Order, command
사또	Korean district magistrate in the Joseon dynasty
섬기다	To serve, obey
소감	One's impression
소동	A disturbance, agitation
송년회	Year-end party
수청	Bed service to a local magistrate
암행어사	Secret investigator in the Joseon Dynasty
압송하다	To transfer a person to prison
어기다	To go against
억울하다	To surrender
연주회	Concert
열녀	Virtuous woman
영상	Image, reflection
원성	Murmur of grievance
원전	Original text
유혹하다	To tempt, lure
의지	Volition, purpose
인근	Neighbourhood
인연	Relation, ties
자자하다	To be widely spead
자제	Children, sons
잔치	Banquet, ceremonial feast
절개	Integrity, chastity
줄거리	Outline, plot
지아비	One's husband
짐작하다	To use one's discretion, guess, estimate
천기	Humble Gisaeng
초면	First meeting, seeing for the first time
춘향전	Story of Chun-Hyang
출두	Appearance, attendance
충신	Loyal retainer
충실하다	To be rich in contents
취임하다	To inaugurate
퇴기	Retired concubine
판소리	Traditional Korean native song
평생	One's whole life
함성	Shouting
해괴하다	To be strange, eccentric
화면	A scene
비상구	Emergency exit
구별하다	To distinguish
퇴원	Discharge from hospital
부유하다	To be rich
무리 없이	Without difficulty
증거들	Evidence
짐작하다	To guess
충실하다	To be faithful, substantial
가정에 충실하다	To be faithful to one's family
질문에 충실하다	To be true to the question
내용이 충실하다	To have substantial contents
강의가 충실하다	To have a substantial lecture
대답이 충실하다	To have a substantial answer
대소사에 빠지다	Fall into a minor case
복원하다	To restore
옛 이야기를 복원하다	To restore an old story
미술품을 복원하다	To restore artwork
자료를 복원하다	To restore data
유물을 복원하다	To restore artifacts
다스리다	To take control
나라를 다스리다	To take control fo a country
무르익다	To ripen
과일이 무르익다	Fruit is ripe
단풍이 무르익다	Fall leaves are ripe
분위기가 무르익다	Atmosphere is ripe
탐스럽게	Bitterly
발길	Kick
차라리	Rather
맺다	To form
맺히다	To be formed
땀이 맺히다	Sweat formed
눈물이 맺히다	Tears formed
열매를 맺다	Fruit formed
결실을 맺다	To bear fruit
향기롭다	To be fragrant
향기	Aroma
방울방울	Bubbles
이슬이 맺히다	Dew formed
참이슬	Fir tree
서기관	Scribe
