승소	In favour of, Prevailing
소장	Manager
방뇨	Micturition
명예휀손	Image destruction
공판	Trial stage
측	Side
한국소비자원	Korea Consumer Agency
억울하다	To be unfair
요청하다	To request
수신	Recipient
발신	Sender
사유	Reason
소매단	Retail
뜯어지다	To tear
훼손되다	To be damaged
불량	Faulty
방침	Policy
멀쩡하다	To be intact
구입하다	To purchase
업체명	Company name
구매자	Customer
고소하다	To accuse, charge
반론하다	To counter argue
변론하다	To defend, plead
원고	Plaintiff
피고	Defendant
재판	Trial
적용하다	To apply (something)
판결	Ruling, judgement
검진을 받다	To undergo a medical examination
복용하다	To take medicine
성심성의껏	Sincerely
여러모로	In many ways
정기적	Regularly
유통기간	Distribution period
살살	Gentley
발뺌하다	To make an excuse
배상하다	To compensate
재빠르다	To be nimble
과잉	Excess
마침	Just
의도	Intention
의도적	Intentionally
진술하다	To make a statement
피신하다	To seek refuge
해치다	To hurt
배송	Shipping
불량품	Faulty goods
훼손	Damage
손상	Damage 2
업체	Company
유죄	Guilty
무죄	Not guilty
행위	Conduct
성립하다	To come true (Action)
성립되다	To come true (Descriptive)
거절하다	To refuse
위협하다	To threaten
살인미수	Attempted murder
정당방위	Self defense
과잉방어	Excessive defense
시치미를 떼다	To pretend not to be guilty
놀부 심부	To be greedy and enjoy other's misfortune
변호사	Lawyer
민사	Civil affairs
형사	Detective
검사	Prosecutor
증언	Verbal evidence
증인	Witness
비정기적	Irregularly
처방하다	To prescribe something
처방전	Prescription
종사하다	To engage in
식중독	Food poisoning
주식회사	Corporation
수사	Numeral
현수막	Banner
당분간	For the time being
미수	Attempt
짚더미	Hay
벽돌	Bricks
잎사귀	Leaf
입김을 불다	Blow through one's mouth
콧물	Breath from nose
벽난로	Fire place
배심원	Jury
형량	Penalty sentence
징역3년	3 years in prison
우연이다	To be a conincidence
여부	Whether
살인죄	Murder crime
요청	Request
심문	Interrogation
형벌	Penalties
유리하다	Advantageous
불리하다	Disadvantageous
최종	Final
납득하다	To understand
기각하다	To reject
징역	Life sentence
요청하다	To request
사법거래	Plead bargain
시각장애	Visual impairment
비례	Proportion
임명	Appointment (to a position)
비결	Secret
법관	Judge 2
외투	Overcoat
소름이 돋다	To get goosebumps
형편	Circumstances
꼬리말	Suffix
언짢다	To be upset, displeased
홀딱	Deeply
반하다	To fall for
