가라앉다	To calm down
격언	Proverb
괴성	Strange sound
근육	Muscles
기능	Skill, ability
기운차다	To have great physical strength
농담	Joke
뇌	Brain
당첨되다	To draw a lucky number, win the lottery
만족하다	To be satisfied
면역	Immunity
명령	An order, command
명약	Good medicine
무리하다	To exceed, overdo
바람직하다	To be desirable
방사능	Radioactivity
복	Good fortune
복권	Lottery ticket
분노	Anger, resentment
사투리	Dialect
상황	Condition, situation
생태계	Ecosystem
시청하다	To watch TV
신체	The body
심리	Mental state, psychology
열광	Wild enthusiasm
영장류	Primate
오랑우탄	Orangutan
우울하다	To be depressed
유인원	Anthropoid ape
의지하다	To depend on
일생	Lifetime
자연스럽다	To be natural
적대감	Hostility
지구	The earth
침팬지	Chimpanzee
코미디	Comedy
표현하다	To express
풀어지다	To feel better
풀이 죽다	To be dejected, low in spirit
혈액순환	Blood circulation
호흡량	Breathrate
확률	Probability
웃으면 복이 와요	If you laugh luck will come to you
중2병	Puberty (slang)
기운	Energy, strength
기운이 있다	To have energy, strength
기운이 없다	To be disheartened
기운이 나다	To feel invigorated
기운을 내다	To get up steam
기운이 약하다	To have weak energy
기운이 세다	To have strong energy
기운을 되찾다	To recover strength, energy
기운이 빠지다	To lose energy, strength
되찾다	To recover
확률	Probability
확률이 높다	To have high probability
확률이 낮다	To have low probability
확률이 높이다	To increase probability
확률이 낮추다	To decrease probability
육분위 일	1/6
삼분위 이	2/3
주사위를 던지다	To throw a dice
한 번 웃으면 한 번 더 젊어지고 한 번 화내면 한 번 더 늙는다	If you laugh once you lose a year, get angry once and you gain a year
친족관계어	Family related vocab
뻘	Likeness to close family member in age
아버지뻘	Close to father's age
엄마뻘	Close to mother's age
손자뻘	Close to grandchild's age
삼촌뻘	Close to uncle's age
이모뻘	Close to aunt's age
할아버지뻘	Close to grandfather's age
조카뻘	Close to nephew's age
자식뻘	Close to child's age
