전래 동화	Traditional story
전래	Tradition
장로	Elder
스포일러	Spoiler
약혼식	Engagement party
접다	To fold
선녀	Beautiful woman
나무끈	Lumberjack
사냥꾼	Hunter
강렬하다	To be strong, intense
내리쬐다	To shine, glow
솟다	To soar, rise
순식간	A moment
주룩주룩	Rain pouring sound
쨍쨍	Blazing with heat
황훌하다	To be wonderful, blissful
화창하다	To be clear, sunny
변덕쟁이	Unpredictable, man of moods
노을	Sunset
머지않다	To not be long before
반전	Reversal, twist
배역	Part, role
구성	Composition
발단	Beginning
전개	Development
위기	Crisis
절장	Peak
결말	End, finish
열망	Desire, with desperation
각자	Each
당일	Day
작전	Operation
등장	Appearance
배신하다	To betray
향하다	To lean, head towards
탄탄하다	To be strong
작품	Work
갸름하다	To be slender
머릿결	Hair
순결하다	To be pure, virginial
아련하다	To be faint, dim
윤가	Shine, gloss
오뚝하다	To be well-defined
찰랑거리다	Hair flow, to slash
난처하다	To be embarassing, awkward
납작하다	To be flat
동동거리다	To jump from one foot to the other
둥글넓적하다	To be pie faced
사연	Story
이국적이다	To be exotic
창백하다	To be pale (sickly)
챙기다	To take care of
훤칠하다	To be attractively tall
사나이	Manly man
국경	Border
망설이다	To hesitate
공공장소	Public places
예외	Exception
눈살	Frown
다스리다	To rule over
당하다	To suffer
잦아지다	To become more frequent
소란	Disturbance, fuss
거칠다	To be rough
망신	Shame, humiliation
무례하다	To be rude, disrespectful
사소하다	To be petty
실랑이	Informal dispute
찌푸리다	To wrinkle up
더워를 타다	To feel the hear
추우를 타다	To feel the cold
겹	Layers counter
껴입다	To dress in laters
코가 납작해지다	To be brought down a peg
경쟁력	Competitiveness
공동체	Community
묘사	Portrait, picture
보급	Supply
광범위	Vast range
양식	Culture, rations, western food style
외면	What's on the outside
거스르다	To go against
딱하다	To be weak, poor
경청하다	To listen attentively
발생하다	To occur
색다르다	To be unusally different
실랑이가 벌어지다	To get into a dispute
망신을 주다	To humiliate
가진 거라고는	What you've got
쇠도끼	Cow horn
힘껏	With all the force one can  summon
나무를 패다	To chop a tree
풍덩	Onomatopoeia for splash, plop
뭉게뭉게	Onomatopoeia for crunchy
산신령	Mountain god
뛸 듯이 기뻐하다	To rejoice
샘이 나다	To become jealous
번쩍번쩍	Onomatopoeia for gleaming
또래	A peer
소꿉놀이	Play house
종알종알	Onomatopoeia for babbling
어린이집	Day care centre
지체장애	Crippling disability
주머니 사정	Pocket book
백지수표	Blank cheque
음원	Soundtrack
도발적	Provocative
프로젝트	Project
